,,,,,,,,,,,,,,,,,,,,,
"TW: Feb 22 - Feb 28        LW: Feb 15 - Feb 21        Panel: Mediabase - Published Canada Panel        Format: Hot AC        Min Spins Cut off: 1        Hide French Songs: Yes",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rank,,,Artist,Title,Label,Cancon,Spins,,,Dayparts,,,,,Impressions,Stations,,"Avg. Station Rotations",,,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,On,New,On,TW,LW,+/-
-Rec-,-Rec-,,"JAMIE FINE","you're like",Casablanca/Republic,Yes,306,295,11,82,16,88,47,73,0.640,29,1,29,10.2,9.8,0.4
-Rec-,-Rec-,,"BENSON BOONE","Sorry I'm Here For Someone...","Night Street/Warner",,287,301,-14,68,41,70,47,61,0.894,25,0,25,11.5,12.0,-0.6
-Rec-,-Rec-,,"CAMERON WHITCOMB",Quitter,Atlantic,Yes,257,232,25,71,25,69,41,51,0.441,21,0,21,11.7,10.5,1.1
-Rec-,-Rec-,,"ROSE & BRUNO MARS",APT,Atlantic,,229,228,1,70,39,35,38,47,0.609,29,1,29,7.4,7.4,0.0
-Rec-,-Rec-,,"ARIANA GRANDE","twilight zone",Republic,,224,246,-22,71,35,39,42,37,0.598,12,0,12,17.2,18.9,-1.7
-Rec-,-Rec-,,"SABRINA CARPENTER",Taste,Island/Republic,,218,236,-18,54,49,34,38,43,0.514,29,0,29,7.5,8.1,-0.6
-Rec-,-Rec-,,"ALEXANDER STEWART","His Problem Instead","FAE Grp/The Orchard",Yes,218,222,-4,52,20,50,31,65,0.337,18,2,18,12.1,12.3,-0.2
-Rec-,-Rec-,,"ED SHEERAN",Camera,Atlantic,,198,319,-121,64,18,42,21,53,0.454,27,0,27,7.1,11.4,-4.3
-Rec-,-Rec-,,"MYLES SMITH","Nice To Meet You",RCA,,182,184,-2,57,22,38,28,37,0.611,24,2,24,7.6,7.7,-0.1
-Rec-,-Rec-,,"GRACIE ABRAMS","That's So True",Interscope/ICLG,,178,181,-3,66,20,25,34,33,0.361,26,1,26,6.6,6.7,-0.1
-Rec-,-Rec-,,"LOLA YOUNG",Messy,Island/Republic,,178,170,8,67,27,32,28,24,0.852,19,0,19,9.4,8.9,0.4
-Rec-,-Rec-,,PELCH,"Last Night",Pelex,Yes,166,176,-10,36,25,42,24,39,0.334,21,0,21,7.2,7.7,-0.4
-Rec-,-Rec-,,"CHARLOTTE CARDIN","99 Nights","Cult Nation",Yes,162,178,-16,42,24,49,27,20,0.384,21,0,21,7.4,8.1,-0.7
-Rec-,-Rec-,,"RAVYN LENAE","Love Me Not",ThreeTwentyThree/Atlantic,,150,195,-45,32,26,36,21,35,0.219,14,0,14,9.4,12.2,-2.8
-Rec-,-Rec-,,"SABRINA CARPENTER","Please Please Please",Island/Republic,,121,108,13,35,17,27,19,23,0.246,20,1,20,5.3,4.7,0.6
-Rec-,-Rec-,,"PRESTON PABLO","One Last Song",Casablanca/Republic,Yes,113,111,2,25,9,23,20,36,0.339,13,2,13,8.7,8.5,0.2
-Rec-,-Rec-,,"BILLIE DU PAGE","Fake Friends",Independent,Yes,108,95,13,23,16,24,23,22,0.275,12,0,12,8.3,7.3,1.0
-Rec-,-Rec-,,"AVRIL LAVIGNE","Young & Dumb f/Simple Plan","Big Noise/UMC",Yes,106,99,7,27,15,16,20,28,0.186,10,3,10,9.6,9.0,0.6
-Rec-,-Rec-,,"ALEX PORAT","Face Like Yours",AWAL,Yes,102,116,-14,24,13,22,17,26,0.209,13,1,13,7.8,8.9,-1.1
-Rec-,-Rec-,,SHABOOZEY,"Good News","American Dogwood/EMPIRE",,101,89,12,34,10,20,19,18,0.497,14,3,14,6.7,5.9,0.8
-Rec-,-Rec-,,"ED SHEERAN",Azizam,Atlantic,,99,99,0,37,6,18,25,13,0.270,16,0,16,5.8,5.8,0.0
-Rec-,-Rec-,,SHINEDOWN,"Three Six Five",Atlantic,,91,95,-4,28,13,24,11,15,0.297,6,0,6,10.1,10.6,-0.4
-Rec-,-Rec-,,"TATE MCRAE","Revolving door",RCA,,84,85,-1,21,10,19,16,18,0.153,11,1,11,7.0,7.1,-0.1
-Rec-,-Rec-,,"DISCO LINES X TINASHE","No Broke Boys","Nice Life/Atlantic",,79,90,-11,20,9,17,13,20,0.352,13,2,13,5.6,6.4,-0.8
-Rec-,-Rec-,,ZEINA,Hooked,"Artist Partner",Yes,79,76,3,13,19,17,15,15,0.348,8,0,8,8.8,8.4,0.3
-Rec-,-Rec-,,"SHAWN DESMAN","Heels On The Ground",Wax,Yes,75,62,13,26,7,17,11,14,0.115,7,0,7,10.7,8.9,1.9
-Rec-,-Rec-,,"KANE BROWN & MARSHMELLO","Miles On It","RCA Nashville/RCA",,68,63,5,26,9,13,8,12,0.264,12,3,12,5.2,4.8,0.4
-Rec-,-Rec-,,SOMBR,undressed,Warner,,68,72,-4,23,12,15,10,8,0.121,9,2,9,5.7,6.0,-0.3
